business_id,review_count,stars,state
lyzrJAx85KdCQzZq8LSPMA,140,3.5,AZ
eU_713ec6fTGNO4BegRaww,132,3.5,PA
u5Wuzp8uC79IuCglLHXpag,18,4.0,PA
caq9CTtWB-8K0tdFUhTfAQ,95,3.5,ON
aidcfUzZLOjWgwlxfv3UlA,106,3.0,NV
FbUzIBAj2ziuqL2grUgw6Q,19,4.0,OH
IlEyOZ_6dUuhrDqpMN2GXw,4,3.0,AZ
W3ia8dkoGGRYEfFg_BiyPg,82,2.5,NV
-bVpSr0gfct_Rka_AWZYAw,4,2.0,NV
EDjKoA9kv4bn9UXnocnFXA,4,3.0,PA
n-m449doCYEPAb5ux3dmVg,12,3.0,AZ
R19oiRejCcgRzbeYz2UQig,10,4.0,PA
DtzDpAflD41-rI6njywacw,8,2.0,ON
-xX-Vjol_fwWaN2mn1F1wg,20,3.5,NV
bJ44rSxMNTAAF_WGI_jDEw,48,4.5,NC
vZmKNy61z53RnxBTCy86YQ,4,2.5,OH
q7p4xYuqMhAg-E388bFjuA,3,3.5,QC
YzMUZjUMcgI-NSGu48-nIQ,166,3.5,NC
-lJtyCOTVInWusU9YF120A,39,3.5,OH
6DWFVwgm3d9jfBUOkJuANQ,15,4.0,ON
eHhBGqQbDpCcSpz7SZPTbA,110,4.0,AZ
5DLxa3EQQykWFdIJ-KU5jg,7,2.5,AZ
c9UmJiX2G7hKMpivZ3h1oQ,96,4.5,PA
dBg3BFuPGaPtzUeLtGk_zg,32,2.0,QC
s7LqutLZtfk-W4CcY21uTw,10,3.5,AB
jd1rD7jr-_zI46Oxh5lDLA,24,3.5,PA
F9JDMhOEDsE0PnutWhGqAQ,4,1.0,OH
4P0X_Mfb0HEmvXR47w_xWg,13,4.0,AZ
v2UKNMDqWN1UaWlK2Ugx2Q,9,3.5,NV
hhodrH4h3lNTATfKvm_Ocg,4,1.0,ON
CikOhGCgZIRKnHGiinSluQ,14,2.5,AB
V2TaLceKiGwy-y7bAGzPuQ,3,1.5,PA
mKT30qU_MlLj4Ps82JAZ8w,82,3.0,WI
tdo6JvAKwmMAKU8T5jfORw,84,3.5,NC
R2hVz1386VvoPFLdUbJyDQ,9,3.5,PA
sKrt4CMGyG8YAjxVkk4hPQ,120,4.0,ON
XFdS4GgrgFsuyyrQZp8jMw,11,3.0,QC
OOXUDZVOREgjwrLiwr3Spg,49,3.0,OH
A3YhRPb0DPQPJL22nlYSxw,45,3.5,ON
n-BoGXG2NItNbr_PMtIRBg,81,3.5,NC
gWY94C5EgNClUOwqJXrBGg,61,4.0,AZ
R-GbmmHHfAyPo1qs4jo0TA,77,3.0,PA
fYUS9YkYPccCx9eaYc9t5g,17,4.0,PA
vuC03KldDXReH8VTqRK03g,7,3.5,OH
JN6287XepTV2wOiwnq5joA,14,3.0,OH
tjAeaGdxf7I4xN9M7wGJNQ,259,4.0,NC
tuzRD_Q4qE7i3J6pcaqgqg,18,4.0,ON
bKrQEKxC9S5k-oz5VKiNVg,37,4.0,QC
tR4VVIdzcJCQus4GUFq3IA,99,4.5,AZ
z8H4Mdzl4jS9pYswj6Jf9w,158,3.5,ON
l0dOj4jI82qk-x6WVwNQLQ,36,3.0,ON
JlkHGjgS3MJ5FqEDJdu8xQ,59,3.5,OH
by7BOr074_BKz7hkRIi9WQ,14,3.5,PA
9mDQdmxaCGWdn1lKeeowmg,6,2.0,NV
xZI4oZTFO3S4DSUjjlxgFg,10,2.5,ON
lK_iVjCur58if_XcbENGqg,54,4.0,PA
xFSCaBlcnDXSGFPUtYtuXA,74,2.5,NC
ppmYIHMCIL5bocUsJSsDWA,11,3.5,NV
USl08j1cxicgejktn17IVA,49,4.5,ON
wyNtE5qN35asNZpX55W3sw,11,4.5,ON
or4yipilbCkKIFnF1RP5Ow,47,4.0,OH
TP6hgLCNGkqjFne9nCfaiA,25,4.0,AZ
scoJNOqcw2peNlO31UYTaA,36,4.5,AZ
UnQtgQKpfBs2avbl8xWwgg,5,4.5,ON
hNmSL-HfN_IdPlWXP1ILEw,9,4.5,PA
ZL6BK8wweb-8ncJ7kFIG-A,43,4.5,PA
8fB3OodPzYuagvnEWzULeA,15,2.5,NC
vlh_e6Ftu2MyS0K-e-wdYA,4,4.0,ON
0ZN2MfHyjNIkCx7qJvVhDg,34,2.5,OH
sZ3AWH6WPq38fEKijvl9vA,49,3.0,NV
A4aqz0pfgMX-votNbSZQDA,20,3.5,ON
Xw2o0GKWxDRMFPR0a4IOoQ,13,3.5,AZ
hhhHgSaSl6GLtuDoDrMUZQ,154,4.5,AZ
H087dS5FpllJN7UVW7_Qzw,3,2.5,OH
KbtUNrTfQqGlCFVnpk2JAg,6,3.0,ON
Xdoqt46KMRBiaWWMa41m1A,4,4.0,PA
5crOt_2vpHfFeGOrEeROQA,18,4.5,PA
uarJTrBc8VsXlZm9qlQVAw,9,5.0,PA
vl_LNtimh_DMxZ1YQfl8aA,23,2.5,ON
cB4c3zFoHg8j1pSoENNVYQ,27,4.5,ON
L0DJ7-GUDMLIlIR-7vykvQ,15,4.5,PA
yLgA-rICHCKNXLJHeoyBLQ,3,2.5,ON
2vQGEfAj_8JXIjNO_Q-EpQ,4,2.5,QC
PbOQlLSloU5Zkpth5I3cjA,7,4.5,PA
0gTTGuA6uEmMhLhfJi0hqA,169,3.5,NV
ABeszRTxM38rjrRQATo-2g,66,3.5,AZ
FOHdXpulTk5Exb7J9bbP_A,12,3.5,ON
L1qCbC-FMbcCIt-LtqVIOQ,10,4.0,OH
zElnVlq5To9UoNw4KmoYWQ,10,2.0,NC
JOAUIWLFcLbZYEXu0dXl3g,30,3.0,AB
wffN4optBUAy4LVOOPZN7g,18,3.5,ON
YPSpAMNFy2CJfELJWvHoKg,8,4.0,AB
2Ezp_HYCIVE-h7hpBBvtxw,6,4.5,PA
hmRR9whRtnbV5LyIC3Bxrg,3,3.5,NV
hT3pnZ6HR7oLDE-LfxAElQ,56,3.5,NC
7LzhLKAwS7PHUvaPIW833A,37,3.5,OH
5gZ4k_mdDOcEmCG4wHVH-g,11,2.5,NV
bpXjVgy_XkTnySLMlvSg5w,5,4.0,ON
Wy-zxEXkqqJ14rxt0PBdrA,8,3.0,QC
CVgkAFbaqMblKcZq5GIitg,41,3.5,AZ
YPK024huhY2np5hJ_5qWCw,52,3.5,NV
Uv7dO93lwpq0MqGsu6-_XQ,9,4.0,PA
Y3RWEmu4ykuc2LvG3Qv9Ew,29,4.0,OH
kLfNYfqt0XZ_8afGu3tcNw,10,3.0,OH
8t4RND0dQhO0MBvyuMVkKA,13,4.0,NV
cbxyYUsJMWk1oEgzfoJ28A,7,3.0,ON
afMwlotE4c2nBLilhaOxhw,45,3.0,NV
THOZYeKWKyW_-6U30E1b5w,3,2.5,NV
5BqrtpvikNqNSqLFLvLSdw,13,4.5,AB
XQqugSurkmFjmByzd0ZsLg,10,2.0,NC
QrO_VmwDfdO5NzfmBeNhQw,70,4.5,ON
isao1F5FW5kvQl402UlJ3g,3,2.5,OH
cPWbolWE6ip5SupmfH-nBQ,5,1.0,NV
nWx5GEaJ1dpc-psAbG_v5Q,161,4.0,NV
PWW_jT4tHP_r1S18ePJyTQ,166,4.0,AZ
bhosqo-Q1xp67iLqrd1Rbw,22,2.5,AZ
29qX-E8uPc9PyCz_eVWNjA,8,3.5,OH
ru3VLU8kPeYWkxeG4yaZBQ,8,4.0,QC
74mRso_qqJPNE5nMbRw7kA,14,2.5,AZ
iDn9TKUEhnxi0hOZj7p3rg,3,2.5,AB
A7GaI8Ew4ShXYJvjG7UgKQ,7,4.0,AZ
LtPnsCPkCb41VG5fQr18IQ,11,2.0,PA
dSEcQPPUlATxZf5pvN_t5Q,112,3.5,AZ
Y5Uon-0OaxDZNgFcyAQCfg,31,3.5,AB
yc7ukSQi61NMXYIyHyobgQ,16,4.5,OH
ocZv9DHZaf9tkJyzxL5tbg,6,3.5,PA
yhT2iTPtvQttZxYS9cNF0A,26,3.0,PA
jO9gbncmBCExL_FvFKU5Ew,8,4.0,PA
r9vhaF_AWUSZ33PBlLJEqQ,3,1.5,ON
DU-9mdPuVxVkvABMLp5G1w,5,3.5,ON
sbm0jmhWui8YrvFgxnJ4kQ,41,2.5,WI
aNe8ofTYrealxqv7VtFTuw,231,3.5,NV
9WOPUTu7NnVvYhcpdbrgxA,27,3.5,NC
2P1Rvd4IboY8z7oRoT8b8g,3,4.5,QC
-f4QkOUpm40bm5_NvEb9-Q,5,3.0,QC
7WAeeunp2p8sSq44_TMxtA,5,2.5,PA
u23C6gXl83XN7rzCTwtFWA,7,3.5,ON
KXWWjVLbqnlM776aPy9xAA,3,2.5,ON
REq5HpBcnBvldzprRnBVzg,21,3.5,QC
tELSmoUWULnsIryf6lhjzw,3,2.5,AB
zgtgMlvFk5Ilrs1yj78tdA,17,3.0,NC
qmd7qiygopG67rxb_3190A,3,4.5,NC
V2lhqmmpe3G51WDOfhVQXQ,6,2.5,ON
Du7im37PWTggDu8jI1GDzA,8,4.0,QC
pFUFVB0cPY2wL0Gr4vL3GA,3,2.0,PA
74C1z6cqEdvJVgETTcEodw,287,4.0,NV
_vDoNSl0w_v-dEkj8EorwA,8,3.5,OH
cRhpPFn9IvhWjGDADRrpEg,11,3.5,OH
dunM1yjlYZv4kLJrF3tO-g,26,3.0,NC
mXW6liskyzz5udQ9vxYRWw,8,2.5,SC
2k01kgbLdNV9b19GrOqdNA,58,4.5,NV
M3sOd9i8X5ftmMO1sxfo0w,3,3.5,QC
sT6KKMATRTiNSJ896D7l2w,73,3.0,SC
iNhP0ejUf2jVzaR5YCOoEQ,140,3.5,ON
Mnu3EPpuzu3UUN1PIwFRoQ,52,4.5,AZ
t43tq66jU-sLXA-TVgKxrg,58,4.0,AB
-R2z2womJA-NCA2Pbz181g,17,3.5,OH
NAMGicuH3h-wpFjSDBYNNw,42,4.0,NC
pif8Io-Jn2veckVGzkEyJw,50,2.0,NV
wPxQQbwXfqnJEMirpwcPnw,3,3.5,ON
9305Mb-osQjTO3shBj92qg,48,3.0,QC
x4cCFdLMKOudfIyxOMtUJA,21,3.5,QC
jAep5-Dl0PkvAiW96YLRCQ,5,2.5,ON
B7lWxgPmJPJJ7Mz2OL6aAg,138,3.0,AZ
Rmj0NYF_Id_2rZzocx-Vyw,22,2.0,NC
rF5PLlOXehPg-Dy3FiJl8A,10,1.5,NC
hXfTq29MXF_XPdEp9faEAg,8,3.5,SC
OJ6zfenoK-eBNI7vvNrOsg,84,4.5,ON
-HO8ejDGgvj_Guw3R6lH1g,14,3.5,AZ
vkfgHfjKvR6ZlsENWExhvQ,6,3.0,ON
bUGtQAzsJ8Z-Y8vBtY6aPQ,56,3.0,AZ
XZCW6g678nxkOugKRTUmvg,3,3.5,AB
BZ0WzEOBVssB21oG4aO2nQ,5,2.0,OH
nlEw8XVhQ5CTEr60xaE4Pg,3,3.5,PA
gHpS09E4yINDaUsc9Su3KA,3,4.0,QC
dhRF2j_QeZIE0qPnvXc1Ew,33,4.5,OH
h7-JSWAJwFPZXwdoN1MQpg,31,5.0,OH
a-iENHYNgMdY65p9tZUj6w,4,2.0,PA
FySLcpQNaDK_wrKmZA02cw,16,4.5,ON
CymM3BP68hGigBK_5ap58A,124,4.0,OH
0NRW_aZUWvDsjh58fBq8OA,20,3.5,QC
ft5LUuDwmS8ONnI7AooLjQ,25,4.0,ON
7MwN0zxxJNBWJ6hvsBjGPg,54,4.0,NC
JmEdImxiiEq2NfPVP5dT-w,13,3.0,AB
hp6BQeJG4mcTETwI1Cvqlw,6,4.5,ON
I-7JXoyVi-QpZJLbJMDrgg,29,2.0,WI
tWJWgm6o-FwwcxXa6G7l4Q,101,4.0,AZ
pZbSHLeDJqgdwf3QSHKxYA,19,2.5,ON
DpBYX9W8hQzYqVLXntFetw,12,4.5,PA
893VryJbZcCm5V9xon_aLA,5,5.0,NV
81Sjb32GbNNVtMepb-9VTw,3,4.0,ON
ZBow_7ssh7tWEAyLIrKGtg,4,5.0,PA
jCiV3XMOi4zwU_l68BFVVw,15,4.5,NV
VzoG2RBMhIggwDtQcu8HhA,4,5.0,QC
bOwvJUb8A9MekXsK_SrftQ,20,2.0,PA
gc4IkXZ3l7Lcmswcht-_ig,3,2.5,PA
wp44-LcNJCUnle5JkVXkbw,9,2.0,PA
ZtJ6sTq7-5rL9ORUtQJHAQ,419,4.0,NV
DoWLGxBbR24_0r7mpGg__w,35,3.5,OH
M4f1JtOp03-gv8xR5JtV8Q,14,2.5,WI
E_4qAaFMthmlF4hjLjtolg,18,3.5,ON
vxadNrpTY7OHNmWsrEpNnA,257,3.5,NC
ia1Q47ANt6OZDMpQPzkqJQ,11,2.0,AZ
mvMih24zuSw_dZyU_LEY7g,29,2.0,NV
LOEZ8zDGly7s-laA1OBIEw,48,3.5,ON
zCqpHq-eDSRqXn9VBtoVcQ,11,4.0,ON
xY5uR_HCwkdAX3ZLkyjZZQ,109,3.0,AZ
rYI_jy7zVVMSntuc2-C3rg,4,3.0,AB
xYy54Y2VTBAG5k7WJcaH4A,38,4.5,NC
bD46Yt0A_zToPPPE3Lv1cw,56,3.5,QC
Ykg-jzdJS5UAlkF5YaCsyA,3,4.5,OH
g9CAs2KjZl2FIaCAYULMjg,3,3.0,ON
op0GPkK8YtpTQxSq80lEpw,20,3.5,ON
5PpFojIpkGV4JoUP7XJ_Zw,16,3.0,NC
m5sGdODCWYVu-bjvqG_OOA,29,1.5,AZ
5SEwzlWlrxSVyZx3IgXwLg,58,3.0,AZ
w4yq1IRk0DHQE995giqjGg,231,3.5,NV
3DQKaQN2wjWTWUN0EBwkzw,21,5.0,PA
9HdEvvISPbzbL1u0wGJHrg,64,3.0,AZ
NrokuoWJAy_VbMprivfAIA,48,3.0,PA
SJxm96AkOPhXZFRM5-RbTA,47,3.5,NV
vmQKPYE46edrPQDc1vBMDA,15,4.0,ON
Nf1ZtgHwg0Mu5lOaJYgDGQ,115,3.5,AZ
OhTGNPRRHkRuAmPUwaTTOQ,3,1.5,ON
oYCx5gO4KkkgYPnglSkk5g,20,3.0,ON
kXf-SBVDlZXEdv9RupkN7Q,22,4.5,QC
27m3lsK3LpZm5XeGM4oVNw,19,4.0,PA
QzvLnOqwH6BIY_jCOvzuQQ,30,2.5,NV
r-wz3rmeNGLBMOqtfXnxog,148,4.5,NV
svFq2-4Yv5bIXtB2EK24Ow,357,4.0,AZ
buk0wVdm_42901qeVIoTrg,4,2.0,NV
9ahmJQZxd845y4HRBt6TaA,15,2.5,NC
DprO2_-TACRiPiimbtXvVA,17,3.5,ON
ZNB91myFoOYgyXoG5LQeGQ,22,2.0,OH
QGTktEHxPfgpxrcO4Q4l-g,17,4.0,AZ
8lZtLSeJVg28Gb75iklmmQ,129,3.0,NV
UCJrY7uZwtaJIcQ10oLzKg,11,3.5,QC
VZpzm3HG_YXPHvY97m05qg,7,2.5,NV
17Q4bVyFLxAJiht0lHdj-Q,26,3.5,ON
vTyDfSJzJ4CudgWOuaotGA,4,3.0,SC
MZ4EEf4VtkeSJURIGgp2AQ,44,4.0,ON
gHoP4eJimaMltfUlp6EP4Q,343,4.0,NV
oDcTa97TuRsNVg8urdw6qA,51,2.0,NV
KISNjnQaKGzmGritl_5OoQ,5,3.0,PA
cennbPt1wMfbIKGCaNj3dw,16,3.0,OH
Vl7knG5rR45zT97JdkCmMQ,5,4.0,ON
2S6p5ICNswz_EdgcZk76qQ,353,4.0,NC
eEfDS8JjpUOoslhJDIbltA,134,3.0,AZ
ZPwx7ktiVluGFVg0L05n5A,297,4.5,NV
WQAaGMguMmnxQdgMeEFY9g,12,4.0,AZ
Suy2V5n_w8uzsXTdDdtCnA,121,4.0,NV
pbL2-Gej2_lSPXQ-Hn71uA,16,4.0,OH
a0v7Si0DK4cIko7AQY4YXg,999,4.5,NV
u-Xr6P0dHS5IF3HQEg5KoQ,22,2.5,PA
PmkXtqIcjQGpNShB8yTSrA,73,2.0,AZ
Zd9VJFJjfaadaJmCMFv-RQ,115,3.5,PA
VbnCVDde6wpaUMDVjllHwA,3,4.0,NC
G-u14MaU6ymd0gZoNX3mAQ,10,4.0,OH
jG1jcAeDw0pZTHCNC5kw_w,337,3.5,AZ
jGMoZYcrc9AdUIiMWaQZPw,25,5.0,OH
4aAf2nAr86lcDHzqWSaYuQ,96,3.5,NV
b2ZukyGCS7xDlv0ZAlXdYg,38,4.0,PA
ZLuWpmvO41w2bSwufgfUlQ,18,3.5,AZ
G-GcMq-iVEENhjG3z1lZhA,11,4.5,PA
ftkUQCPM-wFu55Ou-BzFgw,10,2.5,PA
xyMZdF9Xh9N6il831_Czsg,114,3.5,AZ
5ykOWYZ44sUvu9qxD8rPeg,367,4.5,AZ
W2obVbo47pkggXu09KiZtw,10,3.5,OH
SjmtOnyHgdKFDUkAuyPcMw,8,4.0,ON
PFQU2koM2WymKJh8O6UcoA,83,3.5,PA
ABRVorSKOKIWSPSpaWI-vQ,65,3.5,AZ
Pnw5K6dsMh6Zn_q2qcpnnA,13,3.0,ON
oD8kSlXINk5u7d6HQh2SxQ,23,3.5,QC
iDQ2WviQGxX_-4rhfOKYaQ,10,3.0,OH
nE2gBdXJ5moeyKCfBL_TEg,5,4.5,ON
VOvcCzgnhyJ63r3Xk5gvpQ,4,1.5,PA
DYX1KsipIxOzz_pqlvUzvg,102,4.5,NC
--U98MNlDym2cLn36BBPgQ,4,3.0,NC
O9gFYCf_BU56KhLByawYWg,7,3.0,AZ
qDbVUkKMLtRqSDcKgLTx1A,79,3.0,AZ
KlLbS_stbBlL1KnMY5J7Vg,7,3.5,AZ
yvJqxVTO_qwRGLMtUrqzQw,110,3.5,AZ
IJYqKCfeM4ePy7oqxSah7Q,3,2.5,PA
S5bNE4Pmin8OQUMOFod8bQ,126,3.0,ON
qRdrn0rDaL9b1z5jjoMkmg,9,3.0,QC
wHq1efQVz17338k_aUOX3w,307,4.0,AZ
js9rQZAlA5rr7oSBRRcCDw,171,3.5,ON
KNvqTNhpCq7Sshqzykx9QQ,3,4.0,PA
DsHEbDuM4lxYb2js8WfVLQ,3,3.0,QC
F8jf-xPsdTEENyrzLIcqnA,49,4.5,QC
I4KLIuqnYu_zPV6RCfEtQg,29,5.0,QC
LX7z8AgnduANKeYu8p1zKA,4,4.0,ON
1mHcIfWIUO1i6K9st5atdA,11,3.5,ON
TLfBvo601IBNSkvymQnnZQ,14,1.5,ON
15LVDu1_v97JEx-g97wnfA,193,4.5,WI
2kWrSFkIes_d2BMg4YrRtA,23,2.5,NV
_yzOlwHLZRwHz_rTQybhHA,3,2.0,OH
qfoj3E_1vf5CKwdpcJBjPA,18,2.0,ON
83cVpTJNyzv9lJ20vzBgdg,109,4.0,AZ
WbMZHFOOzjmQybWyHdfDxA,33,4.0,ON
88QR1e2mFNd6Gt3BI1PNpw,39,3.5,AZ
MVg8_dWzoCtGjBvWCatjjQ,156,3.5,AZ
WXt16QDqaMS5s_RXNuSDfA,6,2.5,QC
wgXwKEK9MeJruxx7-w178Q,10,4.0,OH
Avd8p01gYJEnA5OywiyM4A,3,4.5,QC
9lJvU8ymisVHNa-pnowCWA,15,4.0,AZ
Mj3MfOW3J6RrGjfn0pCGzQ,4,1.0,OH
35sOd4isS-SJi92Yknn-Xg,3,3.5,NV
tstXUpIFZQ9xYejjGQrDwg,36,3.0,OH
_kH0FjXR4ZcNG9ZsJ2TT3g,6,1.5,ON
im8sxT2V-drSvxP17qdb2A,66,3.5,ON
0PMKMyfX1j7Nc4esk1RaMg,284,3.5,AZ
8CjI8nebSDB5aINJc3dLwA,13,4.0,PA
Md8XLs5FUhSnUodFEVqYWQ,10,4.0,NV
CtYWpX_cy1YdZgoKtS0Tqg,18,2.0,OH
r9274utz94-FsCFEUPNWag,22,2.5,AZ
gp9ZESRRNLqWfgJtEzPThA,185,3.0,AZ
50LSp1WnwMA3PMXXvXDj0Q,12,3.0,ON
izMVaoWC6BLx_yKMiy8Tpw,7,4.5,AZ
DfhzmbGPKGYSzFQ2iKrLRw,5,2.0,QC
p4jRa3qzDJtV-hSjcuNUag,28,3.5,PA
sVeSK69iNUUsMU6tpXzl6Q,264,3.0,NV
7-orNjFM9FDNIhITbr37wA,33,2.5,NV
FwS2grX_4u879hzjfYFakg,84,4.0,OH
mGkVxLpndvodT92iRvbLyQ,26,3.5,NV
XmdJO7O0hrtlLwAQdibm4Q,5,4.5,ON
-7BCZH437U5FjmNJ26llkg,69,4.5,ON
vUqIE5La92aMJrY8kGgwsw,31,4.0,ON
V4Ml-Urzen74dieQD-QeKw,15,4.0,ON
rmmIC5szAimxRnqQx3RUQg,4,2.5,PA
fqQWl7p29tmUsrWoVX5fhA,9,3.5,AB
c5mnoNYWzsw_gJSZ0C4b6w,17,4.0,WI
Lkq-3a2oZUPDSUWBRzUXWg,42,4.5,AZ
gJWQV6tavsLo2PdHgDw4KQ,3,3.0,NV
hQMyVVYkPl05i2ItdHmiGw,4,3.0,NC
NN2qR6FlQFQG1by3LWoT6Q,7,3.0,ON
Oe6cb42EkFvIWwEIooY-OQ,300,3.5,AZ
gErcz2Kqc-7E6b_JuU1VKg,34,3.0,AZ
gxy5B_IhNpRFqobsffO0Tw,30,4.0,NC
afc3QwjxDI79Rglr5jYqMA,9,4.0,ON
qc-ehqqIF7bNpP-OmfEG3g,25,3.0,QC
BrMqGmsqIqa_Qjyk4EiFGA,8,3.0,ON
LBcCkRqkqJGthuqLE0t7zw,5,2.5,PA
Gyrez6K8f1AyR7dzW9fvAw,495,4.0,NV
RC_Eshxv0mK68g5bc80kGA,16,4.0,ON
VLcKamUwc65ETV_FIsfr9Q,20,3.5,AZ
5nMvlKW5n2-O0tT44DYnDQ,39,4.5,PA
G2dOc_7ydfRafBBWrQKRoQ,10,4.5,ON
Xja69DDoUqbPwFOSB3_Ckw,3,4.5,ON
tVYMfPbKvejCQoZ5UdzDHw,3,3.5,AB
QMPDsRxHmDtap9ECO1Uwjg,70,3.5,NV
aaJ-RaUdHyB4R3U4qNbRBA,15,4.0,IL
lJc5WljtIAI6hBqzKbn_HQ,9,4.0,PA
BxpWf0-aNxjpfdZcULR6vg,3,1.5,OH
XxmziAeRqMKwsDjyyjVgeg,101,3.5,PA
bSdLGMzfyNa5PcwH_00_CQ,3,3.5,PA
Bx8cfQJpZvKNA4TWPFWDJQ,27,3.0,WI
u5Xa3N90_jhbBGKU2e4Y3w,3,5.0,SC
v2xh5qtrlRJSU3OnixJH2g,65,4.0,NV
Kzo1z1hW6224lNd3al2SbQ,29,3.5,AZ
1RgX-EAQrGoPMvy9ntEXsw,76,3.5,OH
mnqGWXdqBq73_exmNOEkwQ,5,2.0,OH
h2r4ucSZYZVARP4Euhp0Ow,20,3.5,AZ
D5XAErxJj5VbQjaQypb4Ig,12,3.5,ON
HZuzY6nCEnz39nyloDCV8A,31,3.5,AZ
aIAZg4ojxClm_fOimjuIYw,3,2.5,AB
4xnVH2jTVwrsO88q_jHWWw,74,4.0,OH
AYL_y8ahquUW0o-cvIyLbg,89,4.0,NC
eY1WyHjXObOc-63nBv20Gg,20,3.5,OH
FQ9C3ZF0NOfRyvFdx-J5Wg,5,2.5,ON
f_R4-FMtQ2Dj6m8LNuse1w,150,3.0,NC
iAdj2sx6LHWt6_zM7U3GLw,17,2.5,ON
XQ1xXz3VKk5FQXNbkxbO7A,36,3.0,PA
VoXUt6TIJWyIf_lihbN5xQ,218,4.0,AZ
rvZ5PwoDd7gfCQie--066w,16,3.5,OH
Qn2uD06olrxL_43_4G_Hqg,21,3.0,WI
9NGXZyn-GHYB-vKC63gOag,55,4.0,OH
N1K9mZNBIqx5MBkTLpNNWg,10,3.5,ON
EWJbWp3oOwDsv4Lo5eZWxw,83,4.0,PA
6Yyrg9dO82ZyQjRl7UzOyw,20,3.0,OH
oXFRaSgcT9GwCWfC9lf8dg,62,4.0,PA
DQoxF7u3SelehcrkzLUR-A,14,4.5,QC
ypkahHKiFXaZhrEzNZRvLA,21,2.5,ON
8CRoFhyVzple6ji3S1_L-A,15,4.0,OH
SbqlNhbtfW6Wyj61vyWxUg,26,1.5,ON
dBNMq06VHg4iSPLpjfpgyg,3,2.5,OH
cIWlTjt5HlWQ02mUZIz3Ng,9,2.0,NV
irGqiEfO-m7GBvhFPiWvTA,15,2.5,AB
